KCl conc,NdCl3 conc,Bulk cond
0,0,0.55
1.11,2.22,893.61
2,4,1545.9
4,8,2959.1
6.06,12.12,4359.9
8,16,5628.8
10,20,6902.8
15.02,30.03,9814.1
20,40,12706
25,50,15618
30.12,60.24,18535
35.21,70.42,21120
40,80,23899
45.05,90.09,26721
50,100,29405
0,0,0.56
2.22,1.11,668.5
4,2,1170.5
8,4,2267.4
12.12,6.06,3357.8
16,8,4377
20,10,5397.1
30.03,15.02,7850.4
40,20,10189
50,25,12531
60.24,30.12,14924
70.42,35.21,17227
80,40,19280
90.09,45.05,21695
100,50,23660
0.00,0.00,0.52
2.56,2.56,1156.7
4.17,4.17,1833.8
6.25,6.25,2684
8.33,8.33,3327.4
10.00,10.00,4181
20.00,20.00,8631.5
30.30,30.30,11513
40.00,40.00,14907
50.00,50.00,18309
60.24,60.24,21747
70.42,70.42,25064
80.00,80.00,28062
90.91,90.91,31598
100.00,100.00,34492
0,0,0.88
2,0,272.04
4,0,530.48
6,0,794.86
8,0,1055.1
10,0,1286.5
20,0,2601.9
30,0,3850.1
40,0,5090.6
50,0,6268.6
60,0,7488.8
70,0,8620.3
80,0,9866.1
90,0,11024
100,0,11944
0,0,0.9
0,2,678.27
0,4,1242.9
0,6,1849.8
0,8,2420.5
0,10,2965.9
0,20,5579.6
0,30,8140.1
0,40,10551
0,50,12797
0,60,15116
0,70,17432
0,80,19684
0,90,21888
0,100,24068
