NaCl,CaCl2,Bulk_cond,Bulk_cond_cal
5,5,1598.9,1848.00862
10,10,2938.9,3396.78062
15,15,4334.4,5009.69952
20,20,5638.5,6516.9783
25,25,6875.1,7946.24058
30,30,8179.4,9453.75052
35,35,9365.9,10825.10722
40,40,10611,12264.1938
45,45,11774,13608.3892
50,50,12940,14956.052
5,2.5,1069.1,1235.66578
10,5,2061.2,2382.33496
15,7.5,2995.2,3461.85216
20,10,3902.9,4510.97182
25,12.5,4787.8,5533.73924
30,15,5671.5,6555.1197
35,17.5,6536.8,7555.23344
40,20,7394.8,8546.90984
45,22.5,8250.6,9536.04348
50,25,9074.5,10488.3071
2.5,5,1346.2,1555.93796
5,10,2546.1,2942.78238
7.5,15,3681.4,4254.96212
10,20,4769.8,5512.93484
12.5,25,5831.7,6740.27886
15,30,6918.5,7996.4023
17.5,35,7944.2,9181.90636
20,40,8972.7,10370.64666
22.5,45,9982,11537.1956
25,50,10970,12679.126
