NaCl conc,CaCl2 conc,Bulk cond,Cal bulk cond,NaCl conc2,CaCl2 conc2,Bulk cond2,Cal bulk cond2,NaCl conc3,CaCl2 conc3,Bulk cond3,Cal bulk cond3
5,5,1598.9,1848.03093,2.5,5,1346.2,1555.956744,5,2.5,1069.1,1235.680698
10,10,2938.9,3396.821628,5,10,2546.1,2942.817907,10,5,2061.2,2382.363721
15,15,4334.4,5009.76,7.5,15,3681.4,4255.013488,15,7.5,2995.2,3461.893953
20,20,5638.5,6517.056977,10,20,4769.8,5513.001395,20,10,3902.9,4511.026279
25,25,6875.1,7946.336512,12.5,25,5831.7,6740.360233,25,12.5,4787.8,5533.806047
30,30,8179.4,9453.864651,15,30,6918.5,7996.498837,30,15,5671.5,6555.198837
35,35,9365.9,10825.23791,17.5,35,7944.2,9182.017209,35,17.5,6536.8,7555.324651
40,40,10611,12264.34186,20,40,8972.7,10370.77186,40,20,7394.8,8547.013023
45,45,11774,13608.55349,22.5,45,9982,11537.33488,45,22.5,8250.6,9536.158605
50,50,12940,14956.23256,25,50,10970,12679.27907,50,25,9074.5,10488.43372
