NaCl conc,LaCl3 conc,Bulk cond,Cal bulk cond,NaCl conc2,LaCl3 conc2,Bulk cond2,Cal bulk cond2,NaCl conc3,LaCl3 conc3,Bulk cond3,Cal bulk cond3
2,2,846.19,978.0382093,6,2,1270,1467.883721,1,2,750.12,866.9991628
4,4,1683.1,1945.350465,12,4,2381.3,2752.339767,2,4,1426.4,1648.653023
6,6,2364.9,2733.384419,18,6,3461.6,4000.965581,3,6,2094.9,2421.314651
8,8,3075.7,3554.936977,24,8,4507.2,5209.484651,4,8,2719.3,3143.004884
10,10,3775.3,4363.544419,30,10,5528.6,6390.033023,5,10,3331.4,3850.478605
12,12,4485.8,5184.750233,36,12,6562,7584.451163,6,12,3921.5,4532.524419
14,14,5148.5,5950.70814,42,14,7525.2,8697.731163,7,14,4492.5,5192.494186
16,16,5809.4,6714.585581,48,16,8541.2,9872.03814,8,16,5102.8,5897.887442
18,18,6440.9,7444.482093,54,18,9503.8,10984.62465,9,18,5643.3,6522.604884
20,20,7082,8185.474419,60,20,10490,12124.48837,10,20,6209.3,7176.795581
