NaCl_conc,CaCl2_conc,LaCl3_conc,cond
5,5,2,2413.163889
10,10,4,4554.889335
15,15,6,6562.531093
20,20,8,8478.510255
25,25,10,10325.03455
30,30,12,12115.88636
35,35,14,13860.46325
40,40,16,15565.57633
45,45,18,17236.38011
50,50,20,18876.90382
2.5,5,2,2145.709407
5,10,4,4046.185716
7.5,15,6,5824.365325
10,20,8,7518.514354
12.5,25,10,9148.761624
15,30,12,10727.6468
17.5,35,14,12263.74736
20,40,16,13763.29711
22.5,45,18,15231.02511
25,50,20,16670.63603
2,0,2,986.6258873
4,0,4,1879.940905
6,0,6,2723.687116
8,0,8,3532.17777
10,0,10,4313.183108
12,0,12,5071.667812
14,0,14,5811.101405
16,0,16,6534.052884
18,0,18,7242.503593
20,0,20,7938.028854
6,0,2,1430.866414
12,0,4,2732.004811
18,0,6,3965.863845
24,0,8,5152.52411
30,0,10,6302.763077
36,0,12,7423.402745
42,0,14,8519.172355
48,0,16,9593.548817
54,0,18,10649.19661
60,0,20,11688.22194
0,2,2,1217.571832
0,4,4,2305.524364
0,6,6,3325.741538
0,8,8,4298.215289
0,10,10,5233.709929
0,12,12,6139.057689
0,14,14,7019.006358
0,16,16,7877.054151
0,18,18,8715.887295
0,20,20,9537.633175
0,4,2,1659.942956
0,8,4,3131.432229
0,12,6,4506.890343
0,16,8,5815.59134
0,20,10,7073.101578
0,24,12,8289.202404
0,28,14,9470.633277
0,32,16,10622.32312
0,36,18,11748.03193
0,40,20,12850.71985
5,5,0,1759.973112
10,10,0,3371.593729
15,15,0,4905.27635
20,20,0,6383.832645
25,25,0,7819.570786
30,30,0,9220.317151
35,35,0,10591.51928
40,40,0,11937.19698
45,45,0,13260.4412
50,50,0,14563.70296
2.5,5,0,1482.982144
5,10,0,2840.946313
7.5,15,0,4132.415835
10,20,0,5376.519738
12.5,25,0,6583.639206
15,30,0,7760.406707
17.5,35,0,8911.457674
20,40,0,10040.22501
22.5,45,0,11149.35701
25,50,0,12240.95987
1,0,0,123.6227832
2,0,0,245.1163189
3,0,0,365.2931077
4,0,0,484.440827
5,0,0,602.724683
10,0,0,1184.221591
20,0,0,2313.145391
30,0,0,3411.125848
40,0,0,4486.395069
50,0,0,5543.523227
60,0,0,6585.486234
70,0,0,7614.398897
80,0,0,8631.850964
90,0,0,9639.085605
100,0,0,10637.10395
0,1,0,256.5898779
0,2,0,502.0421417
0,3,0,740.868815
0,4,0,974.6452677
0,5,0,1204.266542
0,10,0,2306.232322
0,20,0,4360.162162
0,30,0,6286.499746
0,40,0,8124.449067
0,50,0,9894.765314
0,60,0,11610.44649
0,70,0,13280.42377
0,80,0,14911.2138
0,90,0,16507.77772
0,100,0,18074.01441
0,0,1,396.3652235
0,0,2,763.2011605
0,0,3,1113.272813
0,0,4,1450.936681
0,0,5,1778.627005
0,0,10,3310.476142
0,0,20,6047.697378
0,0,30,8525.828207
0,0,40,10834.57552
0,0,50,13018.81235
